idx|tags|query|parameter
1|||
2|||
3|||
4|||
5|||
6|||
7|||
8|||
9|||
10|||
11|||
12|||
13|||
14|||
15|manualparallelization|(uj/) {(`time,x) xcol select avgMid: avg ((bsize * bid) + asize * ask) % bsize + asize by 0D00:10 xbar time from quote where sym=x} peach fivehundredInfreqInstrs|
16|||
17|manualparallelization|raze {select first sym, avgSpread: avg ask - bid by 0D00:10 xbar time from quote where sym = x} peach hundredInstrs|
18|||
19|||
20|||
21|manualparallelization|raze {select first sym, avgWeightedSpread: (asize + bsize) wavg ask - bid, devSpread: dev ask - bid, maxSpread: max ask - bid, minSpread: min ask- bid by exnames ex from quote where date=min date, sym=x} peach hundredInstrs|
22|||
23|||
24|manualparallelization|raze {select first sym, weightedBidPice: bsize wavg bid, weightedOfferPice: asize wavg ask from quote where sym = x} peach twentyInstrs|
25|||
26|manualparallelization|raze {select sym, time, movingLiqWMid: 5 mavg ((bsize * bid) + asize * ask) % bsize + asize, movingsize: 5 mavg asize + bsize from quote where sym = x} peach twentyInstrs|
27|||
28|||
29|||
30|||
31|||
32|||
33|||
34|||
35|||
36|||
37|manualparallelization|raze {select first sym, o: first price, h: max price, l: min price, c: last price, s: sum size by 0D00:05 xbar time from trade where sym = x, 0 < count each stop} peach hundredInstrs|
38|||
39|manualparallelization|raze {select first sym, wsumAsk:asize wsum ask, wsumBid: bid wsum bsize, sdevasksize: sdev asize, sdevbid:sdev bid, corPrice:ask cor bid, corSize: asize cor bsize from quote where sym = x} each fivehundredInfreqInstrs|
40|||
41|||
42|||
43|||
44|||
45|||
46|||
47|||
48|||
